iter	Logloss
0	0.6884863475
1	0.6834627103
2	0.678128782
3	0.6732660701
4	0.6684620882
5	0.664492225
6	0.6603602301
7	0.6550152352
8	0.6525982031
9	0.6480633819
10	0.6438311597
11	0.6391524465
12	0.6352723554
13	0.6312554984
14	0.6274563165
15	0.6244671807
16	0.6200711216
17	0.6158578528
18	0.6136468334
19	0.6096451347
20	0.6063892054
21	0.6026716061
22	0.5992285594
23	0.5957881449
24	0.5928253832
25	0.5893760628
26	0.5858700455
27	0.581938828
28	0.5785916165
29	0.5751208294
30	0.5726680041
31	0.5700021637
32	0.5670457414
33	0.5640809437
34	0.5612343289
35	0.5591434605
36	0.557431274
37	0.5543271376
38	0.5512866402
39	0.5483486788
40	0.5456128372
41	0.5425724606
42	0.5401188124
43	0.5378826067
44	0.5357641059
45	0.5331403127
46	0.531163731
47	0.5284733945
48	0.5266646201
49	0.5240050262
50	0.5223484489
51	0.5200808826
52	0.518024888
53	0.5158667453
54	0.5136492388
55	0.5119739038
56	0.5095061256
57	0.5079582514
58	0.5055037901
59	0.5038554837
60	0.5020282175
61	0.4996820476
62	0.4975929859
63	0.4967682865
64	0.4949896515
65	0.4929645288
66	0.4920947506
67	0.490099303
68	0.4887150005
69	0.48797828
70	0.4861276323
71	0.4848471118
72	0.4833922803
73	0.4818124447
74	0.4798163251
75	0.4784371666
76	0.4771631627
77	0.4753820364
78	0.473670291
79	0.4717359423
80	0.4702131847
81	0.4685850906
82	0.4680105567
83	0.4665427688
84	0.4647035481
85	0.4642139947
86	0.4628046396
87	0.4617579472
88	0.4605178554
89	0.4600052035
90	0.4584484502
91	0.4573842069
92	0.4564198854
93	0.4550162833
94	0.4540876094
95	0.4531885703
96	0.4518644579
97	0.4508139424
98	0.4501405696
99	0.449356848
100	0.4482410109
101	0.4466741369
102	0.4452233882
103	0.4441995192
104	0.443107095
105	0.4418862836
106	0.4408496374
107	0.4397200531
108	0.43851967
109	0.4378314525
110	0.4370616589
111	0.4367203881
112	0.4354665953
113	0.4351371465
114	0.4342191818
115	0.4329516402
116	0.4319747741
117	0.4307111308
118	0.4296088271
119	0.4287936254
120	0.428032555
121	0.4272449656
122	0.4265613222
123	0.4253387003
124	0.424482206
125	0.4236363831
126	0.4230781327
127	0.4222396677
128	0.4215115139
129	0.4205288654
130	0.4197302082
131	0.418711633
132	0.4181571305
133	0.4173222689
134	0.416716252
135	0.4162543731
136	0.4153678989
137	0.4143555739
138	0.4134526214
139	0.4125338818
140	0.4119295404
141	0.4111180984
142	0.410532683
143	0.4103406515
144	0.4096009491
145	0.4092074488
146	0.4088873655
147	0.4083521906
148	0.4076510418
149	0.4074756644
150	0.4068269158
151	0.4066575168
152	0.4062039221
153	0.4055324217
154	0.4047031994
155	0.4041733273
156	0.4032615341
157	0.4026825334
158	0.4022739484
159	0.4019627538
160	0.401329961
161	0.4010861441
162	0.4007341768
163	0.4003443862
164	0.3998443962
165	0.3989698186
166	0.398411697
167	0.39828152
168	0.3975821917
169	0.3971220296
170	0.3965335228
171	0.3959938825
172	0.3956565831
173	0.3950080416
174	0.3947418601
175	0.394358598
176	0.3939703275
177	0.3934451312
178	0.3929203329
179	0.3923067726
180	0.3916606367
181	0.3910381018
182	0.390566486
183	0.3902146199
184	0.3898935813
185	0.3897618697
186	0.3891567819
187	0.3886337884
188	0.3882085697
189	0.3877608279
190	0.3873421923
191	0.3871290758
192	0.3865345881
193	0.3857493732
194	0.3853376914
195	0.3851574742
196	0.3846471753
197	0.3840758459
198	0.3837800793
199	0.3834537527
200	0.3829639551
201	0.3827820526
202	0.3822920097
203	0.3817360852
204	0.3811540307
205	0.380762031
206	0.380262173
207	0.38003696
208	0.379691939
209	0.3793034084
210	0.3792302602
211	0.3786960838
212	0.3785521377
213	0.3783492665
214	0.3780125212
215	0.3778899989
216	0.3773604856
217	0.3771055033
218	0.3769105875
219	0.3765455594
220	0.3763932941
221	0.3760769968
222	0.3757905943
223	0.3754087683
224	0.3750045717
225	0.3748632043
226	0.3746597512
227	0.3742143573
228	0.3739340644
229	0.3738826959
230	0.3737696457
231	0.3734265851
232	0.3731273421
233	0.3728620084
234	0.3726412332
235	0.3723792443
236	0.3719262348
237	0.3715181439
238	0.3710639076
239	0.3707633341
240	0.3704508738
241	0.3701950771
242	0.3698195605
243	0.3695897463
244	0.3693461373
245	0.3691375322
246	0.3687592331
247	0.3684264797
248	0.3679201319
249	0.3674495114
250	0.3671888225
251	0.3669658792
252	0.3666555943
253	0.3664421416
254	0.3659269886
255	0.3657033836
256	0.3654532238
257	0.3651697995
258	0.3649278831
259	0.3646963664
260	0.3644009482
261	0.3641752326
262	0.3640108213
263	0.3638023944
264	0.3633698438
265	0.3630659611
266	0.3626283586
267	0.3622785208
268	0.3618450603
269	0.3615318487
270	0.3613570951
271	0.3612174166
272	0.3609587802
273	0.360761283
274	0.3604655635
275	0.3601821868
276	0.3598096104
277	0.3594297432
278	0.3590589329
279	0.3587841306
280	0.3586381732
281	0.3583261211
282	0.358098534
283	0.3577786212
284	0.3573582885
285	0.3570872037
286	0.3568739815
287	0.3566845684
288	0.356494137
289	0.3563379264
290	0.3561275653
291	0.3558718238
292	0.355644112
293	0.3553141631
294	0.354990741
295	0.3546036821
296	0.3545784421
297	0.3543809716
298	0.3541052502
299	0.3536775057
300	0.3533974806
301	0.3531783504
302	0.3531277441
303	0.353065863
304	0.3529083553
305	0.3525312271
306	0.3523789162
307	0.3519910815
308	0.3518362137
309	0.3516158085
310	0.3515336938
311	0.3512959685
312	0.3509275946
313	0.3505806742
314	0.3504589657
315	0.3504384225
316	0.3503554355
317	0.3501691354
318	0.3500981627
319	0.3499559524
320	0.3497677197
321	0.3495223186
322	0.3493940757
323	0.3490899023
324	0.3490691829
325	0.3488225881
326	0.3484353802
327	0.348288438
328	0.3482000112
329	0.3480018208
330	0.3477768646
331	0.3475616032
332	0.3474689525
333	0.3472899952
334	0.3471569031
335	0.3469002389
336	0.3466900069
337	0.3466140004
338	0.3464043458
339	0.3461920342
340	0.3459970663
341	0.3458649723
342	0.3457194542
343	0.3454326162
344	0.3450838236
345	0.3449029803
346	0.3446910089
347	0.3444403741
348	0.3442778244
349	0.3442151774
350	0.3440964617
351	0.3440323275
352	0.3437939036
353	0.3436326442
354	0.3433452528
355	0.3431875415
356	0.3430184162
357	0.3429308904
358	0.3427345831
359	0.3426429654
360	0.3423623011
361	0.3420804075
362	0.3418955357
363	0.3416890002
364	0.3415382473
365	0.3411929903
366	0.3410498326
367	0.3409656653
368	0.3406101499
369	0.3404959787
370	0.340350873
371	0.3401046055
372	0.3397747734
373	0.3395981247
374	0.339559538
375	0.339361016
376	0.3390672453
377	0.33897167
378	0.3387790822
379	0.3387258854
380	0.3385089721
381	0.3383356116
382	0.3380829532
383	0.3378803128
384	0.3377181367
385	0.3376588733
386	0.3375729203
387	0.3374746813
388	0.3373032548
389	0.3371537972
390	0.3369285527
391	0.336823212
392	0.3367567315
393	0.336570043
394	0.3364694755
395	0.3364227499
396	0.3362368811
397	0.3359980691
398	0.3357185863
399	0.3355197801
400	0.3353234353
401	0.3352245856
402	0.335203775
403	0.3350830163
404	0.3349116247
405	0.3347531872
406	0.334547802
407	0.3343917584
408	0.3343079297
409	0.3341933161
410	0.3339474138
411	0.3338478088
412	0.3335788237
413	0.3334687143
414	0.3333178251
415	0.333131225
416	0.3330114818
417	0.3328294671
418	0.332717328
419	0.3324607019
420	0.3323047929
421	0.3322472138
422	0.3320760318
423	0.33184372
424	0.3316251443
425	0.331457122
426	0.3312147265
427	0.3310752034
428	0.3309348487
429	0.3308546198
430	0.3308480004
431	0.3307606737
432	0.3307250572
