iter	Passed	Remaining
0	1	1860
1	3	1780
2	5	1673
3	6	1573
4	7	1474
5	8	1460
6	10	1427
7	11	1425
8	12	1344
9	13	1368
10	15	1379
11	16	1381
12	18	1382
13	19	1374
14	21	1382
15	21	1350
16	23	1363
17	24	1352
18	25	1326
19	27	1327
20	28	1315
21	30	1340
22	31	1337
23	32	1331
24	33	1315
25	35	1318
26	36	1325
27	38	1330
28	39	1332
29	41	1329
30	41	1309
31	43	1301
32	44	1292
33	45	1285
34	46	1281
35	47	1284
36	48	1273
37	50	1280
38	52	1284
39	53	1285
40	55	1289
41	56	1291
42	57	1287
43	59	1285
44	60	1280
45	61	1282
46	62	1271
47	64	1273
48	65	1268
49	67	1273
50	68	1275
51	69	1275
52	71	1275
53	72	1278
54	74	1281
55	75	1271
56	76	1273
57	78	1273
58	79	1274
59	81	1275
60	83	1279
61	84	1277
62	86	1280
63	86	1269
64	88	1271
65	89	1271
66	90	1263
67	92	1269
68	93	1263
69	94	1254
70	95	1252
71	97	1256
72	98	1256
73	100	1255
74	101	1254
75	102	1251
76	104	1251
77	105	1251
78	107	1251
79	108	1251
80	110	1249
81	111	1250
82	112	1244
83	114	1243
84	115	1242
85	116	1236
86	117	1233
87	118	1232
88	119	1227
89	120	1221
90	122	1224
91	123	1222
92	125	1221
93	126	1220
94	128	1222
95	129	1218
96	130	1217
97	132	1216
98	133	1213
99	134	1210
100	135	1210
101	137	1209
102	138	1209
103	140	1209
104	141	1208
105	143	1208
106	144	1208
107	146	1208
108	147	1207
109	148	1204
110	150	1205
111	151	1200
112	152	1200
113	153	1194
114	155	1193
115	156	1196
116	158	1196
117	159	1195
118	161	1194
119	163	1199
120	165	1201
121	166	1198
122	167	1196
123	169	1198
124	171	1197
125	172	1196
126	173	1195
127	175	1195
128	177	1195
129	178	1194
130	180	1195
131	181	1194
132	182	1191
133	184	1190
134	185	1188
135	186	1187
136	188	1186
137	189	1185
138	190	1182
139	192	1181
140	193	1180
141	195	1180
142	196	1178
143	197	1173
144	198	1173
145	199	1169
146	201	1169
147	202	1168
148	204	1167
149	205	1162
150	206	1160
151	207	1155
152	208	1156
153	210	1156
154	211	1155
155	213	1152
156	214	1151
157	216	1151
158	217	1150
159	218	1146
160	219	1145
161	220	1142
162	221	1139
163	223	1139
164	224	1138
165	226	1137
166	228	1137
167	228	1132
168	230	1132
169	231	1131
170	232	1129
171	234	1128
172	235	1127
173	237	1126
174	238	1123
175	239	1120
176	240	1120
177	242	1119
178	243	1118
179	245	1117
180	246	1117
181	248	1116
182	249	1116
183	251	1114
184	252	1113
185	254	1112
186	255	1111
187	257	1110
188	258	1109
189	259	1107
190	261	1106
191	262	1104
192	263	1103
193	265	1102
194	266	1101
195	268	1099
196	269	1098
197	270	1096
198	272	1095
199	273	1094
200	275	1093
201	275	1090
202	277	1089
203	278	1088
204	280	1088
205	282	1089
206	284	1089
207	286	1089
208	287	1089
209	289	1088
210	290	1085
211	291	1084
212	293	1083
213	294	1080
214	295	1078
215	296	1075
216	297	1073
217	299	1073
218	300	1071
219	301	1070
220	302	1067
221	303	1065
222	305	1064
223	306	1063
224	308	1062
225	309	1061
226	311	1059
227	312	1058
228	314	1057
229	314	1054
230	315	1051
231	317	1051
232	319	1050
233	320	1048
234	321	1047
235	323	1045
236	324	1044
237	326	1044
238	327	1042
239	328	1041
240	330	1039
241	331	1038
242	332	1037
243	334	1036
244	336	1035
245	337	1033
246	338	1033
247	340	1032
248	341	1030
249	343	1029
250	344	1028
251	346	1027
252	347	1026
253	348	1024
254	350	1024
255	351	1022
256	353	1021
257	354	1020
258	356	1019
259	357	1018
260	359	1017
261	360	1016
262	362	1014
263	363	1013
264	364	1012
265	366	1011
266	367	1010
267	369	1008
268	370	1007
269	372	1006
270	373	1005
271	374	1003
272	376	1002
273	378	1002
274	379	1001
275	381	999
276	382	998
277	384	998
278	385	997
279	387	995
280	388	994
281	389	992
282	391	991
283	392	989
284	394	988
285	395	987
286	397	986
287	398	985
288	400	984
289	401	983
290	403	982
291	404	981
292	406	980
293	407	978
294	408	977
295	410	976
296	411	973
297	413	973
298	414	972
299	416	970
300	417	969
301	419	968
302	420	966
303	421	964
304	422	963
305	424	963
306	426	961
307	427	960
308	428	958
309	430	957
310	431	954
311	432	953
312	433	952
313	435	950
314	436	949
315	437	946
316	438	944
317	439	943
318	441	942
319	442	940
320	444	939
321	445	938
322	446	936
323	448	936
324	449	933
325	451	932
326	452	931
327	453	930
328	454	927
329	456	927
330	458	925
331	459	924
332	460	923
333	462	921
334	463	920
335	465	919
336	466	918
337	467	916
338	469	915
339	471	914
340	472	913
341	474	912
342	476	911
343	477	910
344	479	909
345	480	909
346	482	907
347	483	906
348	485	904
349	486	903
350	487	901
351	488	899
352	490	899
353	491	897
354	493	896
355	494	894
356	495	893
357	497	891
358	498	890
359	499	888
360	501	887
361	502	885
362	504	884
363	505	883
364	507	882
365	508	881
366	510	879
367	511	878
368	512	876
369	514	875
370	515	874
371	517	873
372	518	872
373	520	870
374	521	869
375	523	868
376	524	867
377	526	865
378	527	864
379	528	862
380	530	861
381	531	860
382	533	859
383	535	858
384	536	857
385	538	855
386	539	853
387	540	852
388	541	851
389	543	849
390	544	848
391	546	847
392	547	846
393	549	844
394	550	842
395	551	841
396	553	840
397	554	839
398	556	838
399	558	837
400	559	836
401	561	834
402	562	832
403	564	832
404	565	830
405	567	829
406	568	828
407	569	827
408	571	825
409	572	824
410	574	823
411	575	821
412	577	820
413	578	818
414	579	817
415	581	816
416	582	814
417	584	813
418	585	812
419	587	811
420	588	809
421	590	808
422	592	808
423	593	806
424	595	805
425	597	804
426	598	803
427	600	802
428	601	801
